人間の体は約いくつの細胞で出来ている？,3,1兆個,6兆個,60兆個,100兆個
人間の体は約何％が水で出来ている？,2,50%,60%,70%,80%
脂質をはじめ栄養素を分解・吸収する臓器はどれ？,3,胃,肝臓,小腸,大腸
でんぷんやタンパク質の分解を進める臓器はどれ？,1,胃,肝臓,小腸,大腸
ブドウ糖を蓄えたり、アミノ酸や脂質をつくりかえる臓器はどれ？,2,胃,肝臓,小腸,大腸
糖質1gで約何kcalのエネルギーになる？,2,1kcal,4kcal,9kcal,16kcal
以下食材の内、低GI食品に含まれるのはどれ？,1,そば,うどん,パスタ,食パン
以下食材の内、高GI食品に含まれるのはどれ？,1,ニンジン,アイス,バナナ,玄米
以下食材の内、低GI食品に含まれるのはどれ？,3,とうもろこし,うどん,ブロッコリー,さつまいも
以下食材の内、最もGI値が高いのはどれ？,3,バナナ,白米,粥,玄米
脂質1gで約何kcalのエネルギーになる？,3,1kcal,4kcal,9kcal,16kcal
血中の善玉コレステロールはそのままで悪玉コレステロール濃度を下げるといわれている油は次のうちどれ？,4,ラード,サラダ油,マーガリン,オリーブオイル
たんぱく質は何種類のアミノ酸の組み合わせで形成されている？,2,10種類,20種類,30種類,40種類
BCAAと呼ばれる持久系の必須アミノ酸でないのはどれ？,4,バリン,ロイシン,イソロイシン,チロシン
BCAAと呼ばれる持久系の必須アミノ酸でないのはどれ？,1,アラニン,バリン,ロイシン,イソロイシン
必須アミノ酸は全部で何種類？,3,3種類,6種類,9種類,20種類
糖質の代謝を助ける補酵素の役割を果たし、体内に乳酸などの疲労物質が溜まるのは防ぐビタミンはどれ？,1,ビタミンB1,ビタミンB2,ビタミンD,ビタミンE
熱に弱く鉄や銅の吸収を高めヘモグロビンの合成を助けるビタミンはどれ？,1,ビタミンC,ビタミンB2,ビタミンD,ビタミンK
目、皮膚、粘膜の健康を維持し、感染症予防や免疫力向上に寄与する栄養素は次のうちどれ？,3,ビタミンB12,カリウム,ビタミンA,コラーゲン
特に脂質の代謝に効果的なビタミンB2を多く含む食材は次のうちどれ？,3,青魚,豚肉,レバーやウナギ,ブロッコリーやじゃがいも
尿や汗に排出されやすく体内に貯めておくことができない水溶性ビタミンは次のうちどれ？,4,ビタミンA,ビタミンD,ビタミンE,ビタミンB2
油と一緒に取ると吸収率があがる脂溶性ビタミンは次のうちどれ？,3,ビタミンC,ナイアシン,ビタミンE,葉酸
次のうち春が旬の食材はどれ？,2,なす,じゃがいも,にんじん,ほうれんそう
次のうち夏が旬の食材はどれ？,1,ピーマン,ちんげんさい,ブロッコリー,アスパラガス
次のうち秋が旬の食材はどれ？,4,きゅうり,えんどう豆,れんこん,かぶ
次のうち冬が旬の食材はどれ？,3,じゃがいも,さといも,ブロッコリー,ちんげんさい
次のうち5大栄養素に含まれないのはどれ？,4,タンパク質,ミネラル,脂質,食物繊維
国の審査の下健康効果の表示が許可されている食品は次のうちどれ？,2,機能性表示食品,特定保健用食品,サプリメント,栄養機能食品
運動後何分以内に栄養補給するのが超回復に最も効果的？,1,30分以内,1時間以内,2時間以内,3時間以内
体の炎症を増大させる飽和脂肪酸を含む油は次のうちどれ？,4,べに花油,落花生油,コーン油,ココナッツ油
ランナーが心掛けるべき油の取り方として適切でないものはどれ？,2,飽和脂肪酸を控える,オメガ3:1 オメガ6:10,オメガ3:1 オメガ6:3,トランス脂肪酸ゼロ
主なオメガ3系の脂肪酸は次のうちどれ？,3,バルチミン酸,リノール酸,α-リノレン酸,トランス脂肪酸
体内で合成可能な脂肪酸は次のうちどれ？,3,オメガ3,オメガ6,オメガ9,トランス脂肪酸
細胞をあらゆる方向から蝕むとされ世界中で規制が厳しくなっている物質は次のうちどれ？,4,ステアリン酸,オレイン酸,アラキドン酸,トランス脂肪酸
青魚等に含まれランニングパフォーマンス向上に欠かせない脂肪酸は以下のうちどれ？,1,オメガ3系脂肪酸,オメガ6系脂肪酸,オメガ9系脂肪酸,オメガ12系脂肪酸
鉄分の吸収を妨げるタンニンを最も含まない飲み物は次のうちどれ？,2,コーヒー,麦茶,紅茶,緑茶
ミネラルでないものは次のうちどれ？,4,塩素,カリウム,リン,ナイアシン
疲労骨折などの怪我を予防するのに必要不可欠な栄養素は次のうちどれ？,2,リン,カルシウム,マグネシウム,鉄分
スナック菓子やインスタント食品の添加物として多量に含まれ、過剰摂取するとカルシウム不足を引き起こすミネラルは次のうちどれ？,4,塩素,ナトリウム,ヨウ素,リン
タンパク質と結合してヘモグロビンの原料となり持久力を高める栄養素を次のうちどれ？,3,リン,カルシウム,鉄分,マグネシウム
成人が1日に必要とする水分は約何ミリリットル？,3,1000ml,1500ml,2500ml,4000ml
次のうち軟水（ミネラル含有量120mg/l以下）はどれ？,1,クリスタルガイザー,エヴィアン,ヴィッテル,コントレックス
レース3日前から主に摂取すべき栄養素は次のうちどれ？,4,脂質,タンパク質,食物繊維,糖質
足つり・痙攣の原因として正しくないものは次のうちどれか？,3,筋肉疲労,ミネラル不足,ビタミン不足,飲酒
次のうち最も高たんぱく低脂質の食材はどれか？,4,タン,レバー,ロース,鶏ささみ
にんにくやねぎに多く含まれ、食欲を増進し糖質代謝に不可欠なビタミンB1の吸収を高める栄養素は次のうちどれ？,1,アリシン,ナイアシン,葉酸,グルタミン酸
カルシウムとマグネシウムの理想的な摂取比率は次のうちどれ？,3,4:1,3:1,2:1,1:1
カルシウムが多く含まれる食品として適切でない食品は次のうちどれ？,2,ヨーグルト,アサリ,チーズ,牛乳
成人男性が1日に摂取すべき食物繊維の量は？,4,3g以上,5g以上,10g以上,20g以上
抗酸化作用の高い栄養素として適切でないのは次のうちどれ？,2,βカロテン,カルシウム,ポリフェノール,ビタミンE
カルシウムの利用効率を高め筋肉の収縮を促すビタミンDが含まれる食材として適切でないのは次のうちどれ？,4,鮭,しらす干し,干ししいたけ,梅干し
ビタミンCとEが両方含まれ、抗酸化力がアップし活性酸素を除去してくれる食材として最も適切なのは次のうちどれ？,3,青魚,りんご,かぼちゃ,卵
美肌や脂質代謝の促進効果から、筋肉量を維持しつつ体重だけ落としたい人に最もおすすめのプロテインは次のうちどれ？,1,ソイプロテイン,ホエイプロテイン,カゼインプロテイン,混合型
体内の水分の何%が失われると喉の渇きを感じ運動能力が低下しはじめる？,2,1%,2%,3%,5%
糖質不足状態で脂肪をエネルギー源とすると増える酸性物質は次のうちどれ？,3,インスリン,ファイトケミカル,ケトン体,グルコース
糖質の消化・吸収を穏やかにして高血糖を防いでくれる栄養素は次のうちどれ？,4,ビタミンB1,ポリフェノール,クエン酸,食物繊維
レモンや酢に多く含まれキレート作用でカルシウムの吸収を高める酸は次のうちどれ？,2,アスパラギン酸,クエン酸,オレイン酸,リノール酸
METs計算で体重65kgのランナー(完走タイム3時間30分)がフルマラソンで消費する総カロリーは次のうちどれ？,4,2531kcal,2536kcal,2742kcal,2747kcal
貧血予防に重要な鉄分には吸収率が高いヘム鉄とそうでない非ヘム鉄があるが、次のうちヘム鉄を多く含む食材はどれか？,2,大豆,牛赤身肉,ひじき,小松菜
非ヘム鉄の吸収率を高めるのにビタミンCと合わせて同時摂取すべき栄養素は次のうちどれか？,3,カルシウム,コーヒー,たんぱく質,脂質
酵素ファスティングで得られる効果として適切でないものは次のうちどれ？,4,免疫力向上,肝臓の浄化,脂肪燃焼,睡眠の質向上
レーススタート30分前に最も適した補給は次のうちどれ？,3,おにぎり,カフェイン,BCAA,鳥の唐揚げ
食べ物の栄養素が体内に取り込まれる過程の順序について正しいのは次のうちどれか？,1,消化→吸収→代謝,消化→代謝→吸収,吸収→消化→代謝,吸収→代謝→消化
十二指腸で吸収される成分として正しくないのは次のうちどれか？,2,アミノ酸,グリコーゲン,脂肪酸,グリセロール
脳の唯一のエネルギー源となる栄養素は次のうちどれか？,3,鉄分,カルシウム,糖質,脂質
肝臓や筋肉に貯蔵された糖質をなんと呼ぶ？,4,ブドウ糖,グリセロール,血糖,グリコーゲン
ストレスを感じると分泌されるホルモンは次のうちどれ？,1,コルチゾール,エンドルフィン,セロトニン,ドーパミン
ランニングにより分解されるホルモンは次のうちどれ？,4,エンドルフィン,セロトニン,ドーパミン,コルチゾール
サブ4ランナーのMETs値(=安静時を1とした比較運動強度)として正しいのは次のうちどれ？,2,9.5,10.5,11.5,12.5
肝臓と筋肉に貯蔵できるグリコーゲンは最大何kcalまで？,2,1500kcal,2000kcal,2500kcal,3000kcal
血糖の濃度を調節する役割を持つホルモンは次のうちどれ？,3,ドーパミン,コルチゾール,インスリン,ペプシン
体脂肪1kg燃焼するには何kcal分運動する必要ある？,3,2000kcal,4000kcal,7000kcal,10000kcal
蛋白質を摂りすぎると負担がかかる臓器は次のうちどれ?,2,膵臓,腎臓,肝臓,十二指腸
体重70kgのランナーが1日に摂取すべき蛋白質の量として最も適切なのは次のうちどれ？,3,50g,70g,140g,280g
胎児の正常な発育に役立つビタミンは次のうちどれ？,4,ビタミンC,ナイアシン,パントテン酸,葉酸
日光に当たると体内に吸収されて、欠乏すると骨粗しょう症になるビタミンは次のうちどれ？,2,ビタミンA,ビタミンD,ビタミンE,ビタミンK
アキレス腱や靭帯など結合組織の成分であるコラーゲンの合成に寄与するビタミンは次のうちどれ？,2,ビタミンA,ビタミンC,ビタミンD,ビタミンE
実はみかんと同じくらいのビタミンCが含まれている食材は次のうちどれ？,3,りんご,卵,じゃがいも,納豆
人間の体に必要とされる必須ミネラルは全部で何種類？,3,4種類,8種類,16種類,32種類
以下のうち主要ミネラルに属さないのはどれ？,4,カルシウム,カリウム,ナトリウム,鉄
成人男性が1日に必要な鉄分を牛ヒレ肉だけで取るとすると何グラム食べるべき?,2,100g,300g,500g,700g
成人男性が1日に必要な鉄分を豚レバーだけで取るとすると何グラム食べるべき?,2,30g,60g,90g,120g
成人男性が1日に必要なカルシウムを牛乳だけで取るとするとコップ(1杯200g)何杯飲むべき?,2,1杯,3杯,5杯,7杯
植物由来の化学物質「ファイトケミカル」には抗酸化作用がある。野菜を1日に何g食べるのがおすすめ？,2,150g,350g,500g,700g
一緒に摂ると効果が減るサプリの組み合わせは以下のうちどれ？,3,Ca/Mg/ビタミンD,ビタミンA/D/E,鉄/銅/亜鉛,ビタミンA/亜鉛
グリコーゲンローディング(改良法)においてはレースの何日前から高炭水化物食に切り替えるべき?,4,2週間前から,1週間前から,5日前から,3日前から
レース3日前からは控えた方が良い食材は次のうちどれ?,2,大盛パスタ,揚げ物,果物,ビタミン系サプリ
レース当日の朝食で出来れば避けた方が良い食事は次のうちどれ？,1,卵かけご飯,豆腐の味噌汁,餅,バナナ
レーススタートの何時間前に朝食を済ませるべき？,1,3時間前,2時間前,1時間前,30分前
カルシウムと共に骨を強くするのに欠かせないマグネシウムが豊富な食材は次のうちどれ?,4,チーズや牛乳,鮭やサンマ,レバーや赤身肉,アサリや牡蠣
